169086.city,mISABELA,ISABELA
103868.maritalstatus,,S
69835.lname,Atrawaal,Atrawala
195336.phone,918-4652,918-6452
7400.phone,97c7-7391,977-7391
174853.gender,,F
73087.haschild,***,Y
10076.maritalstatus,aM,M
139095.city,OROCOVS,OROCOVIS
158036.city,OROCOVIoS,OROCOVIS
106728.city,MAXWELL***,MAXWELL
184267.statevalue,yLA,LA
170505.phone,102-173,102-1673
26341.lname,Saffelml,Saffell
55866.statevalue,I,WI
86829.phone,357-4d975,357-4975
87878.lname,aBu,Bau
88433.phone,405-5807,405-5870
195499.haschild,zY,Y
174669.haschild,,N
12493.maritalstatus,,S
30796.city,EGEGIkK,EGEGIK
88905.statevalue,RP,PR
159516.lname,jVrain,Vrain
23209.gender,vM,M
11306.phone,986-17x10,986-1710
178693.statevalue,I,MI
33787.phone,818-54m92,818-5492
108085.haschild,***,N
195941.maritalstatus,,M
918.haschild,nN,N
158009.maritalstatus,,M
196502.fname,itia,Titia
93461.statevalue,Z,AZ
176162.fname,hahrouz,Shahrouz
3837.zip,54121.0,82520
68673.statevalue,E,DE
47637.maritalstatus,,S
128718.gender,***,F
87797.fname,Shvraj,Shivraj
96295.fname,Hpoward,Howard
124780.city,ALOM,ALMO
60529.city,BAYTWON,BAYTOWN
38426.lname,Beucoudrey,Beaucoudrey
50433.city,MIrLLER CITY,MILLER CITY
15840.fname,Robehrta,Roberta
5594.areacode,702.0,417
74889.statevalue,X,TX
59415.gender,***,F
37100.city,MORGANh CITY,MORGAN CITY
69141.haschild,,Y
60418.gender,zF,F
20704.lname,Kropp***,Kropp
55430.haschild,***,Y
125884.lname,Hutetr,Hutter
173393.statevalue,OoK,OK
99490.city,pARMINTO,ARMINTO
118147.statevalue,I,RI
94551.gender,***,M
12802.maritalstatus,***,M
95147.statevalue,pAK,AK
81355.maritalstatus,***,S
124018.gender,***,F
5078.fname,Belen,Kare
176558.phone,10-17397,101-7397
30671.phone,75-6036,755-6036
45512.maritalstatus,,M
13507.haschild,,Y
1654.areacode,501.0,636
190604.maritalstatus,jS,S
146071.statevalue,IR,RI
72729.gender,***,M
4248.zip,54121.0,55333
117491.lname,Mrks,Merks
57767.lname,Huford,Huxford
169452.lname,Duspolh,Duspohl
86583.maritalstatus,mM,M
108231.lname,Benzmultler,Benzmuller
131520.lname,Groer,Groger
22397.fname,Toper,Topher
142593.maritalstatus,,S
923.zip,72640.0,5673
76837.haschild,vY,Y
15605.fname,Lanke,Lane
121909.phone,29f6-1895,296-1895
66542.maritalstatus,sS,S
131928.gender,,F
73500.lname,tieger,Stieger
90861.lname,Yokmoizo,Yokomizo
53037.haschild,aY,Y
4236.statevalue,E,DE
83224.maritalstatus,***,S
164198.fname,Hectro,Hector
78673.phone,976-7613,796-7613
41090.city,RIO RANCOH,RIO RANCHO
175566.city,AGLT,GALT
93000.gender,jM,M
183088.lname,sBuchberger,Buchberger
132282.fname,Dietmra,Dietmar
172755.statevalue,KA,AK
28635.statevalue,KA,AK
148063.haschild,lY,Y
43617.statevalue,wNC,NC
143630.statevalue,K,AK
19452.phone,93r8-4897,938-4897
135558.fname,Soumay,Soumya
14015.phone,552-9176,552-9716
45186.phone,11-4770,131-4770
78116.lname,Colosaet,Coolsaet
54883.city,LEVNA,PLEVNA
611.zip,78521.0,99546
153752.gender,xF,F
62786.statevalue,IR,RI
77595.fname,Ergzsebet,Erzsebet
161151.phone,61-77368,617-7368
3360.fname,Hovav,Sinh
21709.fname,Evawn,Evan
166564.gender,nF,F
50635.haschild,,N
172290.maritalstatus,rS,S
1197.fname,Sudhanshu,Teofilo
21544.gender,,F
190260.haschild,***,N
2989.lname,Coos,Cools
187504.city,LAUaREL,LAUREL
27537.maritalstatus,nS,S
171232.maritalstatus,***,M
140999.statevalue,AC,CA
142947.statevalue,WqI,WI
133178.gender,***,F
127029.fname,Junhewa,Junehwa
59434.fname,Chatschwik,Chatschik
129488.city,GAUADILLA,AGUADILLA
129483.haschild,zN,N
102727.gender,,F
71475.maritalstatus,hM,M
28740.maritalstatus,***,M
81591.phone,91-3700,971-3700
196983.phone,1946-303,194-6303
30674.maritalstatus,pM,M
156378.gender,,F
7702.fname,Hovav,Mara
149312.lname,Brosler,Brossler
155040.haschild,sN,N
103679.city,CUMBERLADN,CUMBERLAND
183084.maritalstatus,,M
72541.haschild,kN,N
181907.fname,Bartoloem,Bartolome
173810.gender,,M
166610.lname,Phgalke,Phalke
166751.gender,***,M
113144.gender,fF,F
4059.maritalstatus,xS,S
171509.lname,omparetto,Comparetto
184591.phone,172-4117,172-4171
156310.city,TULAS,TULSA
118204.lname,Simaiofocridis,Simaioforidis
29481.lname,Nnastea,Nastea
133894.city,DES kMOINES,DES MOINES
74658.haschild,,N
52161.phone,7k24-5429,724-5429
124134.city,RAYMODN,RAYMOND
99049.haschild,,Y
119270.city,MAgYAGUEZ,MAYAGUEZ
189396.statevalue,ZA,AZ
3831.zip,72640.0,70163
139307.statevalue,CD,DC
101148.lname,oBiederman,Biederman
193829.phone,e684-7258,684-7258
142505.haschild,,Y
26856.lname,wBai,Bai
172924.haschild,uN,N
188443.gender,***,M
24711.phone,417-8692,417-6892
197614.statevalue,K,AK
57731.phone,826t-1834,826-1834
128969.haschild,***,Y
75840.gender,,F
138453.statevalue,AhK,AK
187526.gender,fM,M
134542.lname,Vreplaetse,Verplaetse
150864.statevalue,IbL,IL
198682.maritalstatus,,M
126999.maritalstatus,wM,M
129293.phone,36-2700,356-2700
83277.fname,Clalrk,Clark
142211.gender,,F
159016.statevalue,eAK,AK
181842.city,TUNTUTULIK,TUNTUTULIAK
43851.haschild,,Y
52625.gender,cM,M
172694.statevalue,D,ND
184091.fname,DoKyoeng,DoKyeong
90905.maritalstatus,bS,S
142089.gender,pF,F
20951.statevalue,eNJ,NJ
64332.statevalue,gCA,CA
175587.gender,zF,F
179703.haschild,***,N
110019.haschild,dN,N
182093.statevalue,K,AK
111025.lname,Demi,Demri
111520.phone,230-l9249,230-9249
78980.fname,Rusogn,Rusong
84609.lname,eFeley,Feeley
52411.city,LAJAlS,LAJAS
148389.phone,25-3505,325-3505
38058.gender,cF,F
15123.phone,441-5367,441-5376
59709.gender,***,F
27622.phone,50-8243,350-8243
16752.lname,Holcmbe,Holcombe
87449.statevalue,IjN,IN
504.city,BLUFF PRINGS,BLUFF SPRINGS
188727.maritalstatus,,S
11764.gender,***,F
156412.maritalstatus,mM,M
29688.phone,408-697,408-5697
93940.lname,Rebefu,Rebeuf
106908.maritalstatus,tM,M
122366.lname,Ptaerakis,Paterakis
29760.maritalstatus,***,S
123275.gender,,M
130219.fname,Tvi,Tuvi
167367.phone,122-8182,122-8128
1457.zip,89140.0,26101
111795.lname,Locbelle,Lobelle
2442.fname,Sudhanshu,Stacie
129664.phone,939-4257,939-4275
167227.lname,Radawn,Radwan
176645.maritalstatus,,S
178339.gender,yM,M
17111.fname,Saudn,Sadun
107677.fname,Aujan,Anujan
72589.gender,cM,M
7814.fname,Hovav,Attila
145976.haschild,,Y
155864.statevalue,iOH,OH
68038.statevalue,SjC,SC
55395.phone,228-37u51,228-3751
120161.city,cCARY,CARY
128476.gender,fM,M
91441.haschild,hN,N
39906.statevalue,M,NM
50300.haschild,***,Y
148069.city,KIhDRON,KIDRON
175920.city,WEST MILLGROEV,WEST MILLGROVE
2307.fname,Hovav,Jeane
3144.zip,89140.0,1608
56385.haschild,sY,Y
135423.lname,Deks,Derks
42055.maritalstatus,pS,S
272.lname,Hacd,Hacid
34384.statevalue,RA,AR
43424.gender,,F
198120.statevalue,D,ID
366.zip,72640.0,62766
42480.phone,8j09-5815,809-5815
184519.maritalstatus,zS,S
52292.maritalstatus,***,S
183418.fname,Grayna,Grazyna
72685.statevalue,OwR,OR
104948.gender,,F
158188.lname,Azadmaesh,Azadmanesh
165556.lname,Woner,Worner
97218.city,ANOLA,ANGOLA
174990.gender,***,M
112792.fname,Dalibro,Dalibor
32111.haschild,pN,N
115813.gender,gM,M
91741.city,HEkNRICO,HENRICO
160174.gender,,M
102680.fname,Mrianda,Miranda
89275.city,MESOPOTAMAI,MESOPOTAMIA
160911.statevalue,M,NM
39560.phone,56q1-1617,561-1617
154212.maritalstatus,***,M
114310.haschild,***,N
189421.statevalue,cAR,AR
30052.maritalstatus,fM,M
63404.phone,798-4g070,798-4070
131026.phone,980-7673,980-6773
133521.gender,,F
151813.fname,Adnrei,Andrei
67754.lname,XuDong,XueDong
50521.fname,Jaeijn,Jaejin
626.zip,72640.0,601
90131.city,KANSAS CIYT,KANSAS CITY
28979.gender,,M
92984.maritalstatus,,S
67426.city,ALToON,ALTON
1931.fname,Sudhanshu,Felicity
144730.city,HATTANOOGA,CHATTANOOGA
81416.lname,Hallman***,Hallman
198920.maritalstatus,tS,S
143826.fname,Motron,Morton
14279.maritalstatus,***,M
198985.statevalue,KA,AK
115508.lname,aJnetzko,Janetzko
4300.phone,604-7x794,604-7794
1962.fname,Sudhanshu,Jiaofeng
95046.phone,8453-817,845-3817
145502.statevalue,iNC,NC
27435.lname,Hore,Hoare
12394.fname,Yoshiichi,Yoshimichi
129407.phone,528-5514***,528-5514
114667.gender,eF,F
949.areacode,862.0,603
167125.city,TORONiTO,TORONTO
127169.statevalue,AG,GA
4485.statevalue,OM,MO
48445.maritalstatus,***,M
80918.fname,Kasuri,Kasturi
36789.fname,Gng,Gong
131062.lname,Fuchoi,Fuchi
193293.phone,892-34p91,892-3491
180510.lname,Pivkinoa,Pivkina
51020.haschild,,Y
118397.fname,asao,Masao
84994.gender,,F
106281.statevalue,AP,PA
181890.phone,5973-386,597-3386
31007.gender,cF,F
188574.city,PINE RbIDGE,PINE RIDGE
76675.phone,66-6612,636-6612
83477.maritalstatus,,S
77204.gender,***,M
133522.fname,lfriede,Elfriede
23765.maritalstatus,,S
180502.city,HOUSTOrN,HOUSTON
1500.zip,54121.0,28637
28337.lname,Neighboirs,Neighbors
108081.maritalstatus,***,S
34332.lname,Canlette,Canulette
180132.phone,41-35683,413-5683
40777.phone,81b6-3931,816-3931
46187.phone,117-3830,117-3380
154076.phone,963-4f408,963-4408
18150.haschild,,N
106112.phone,796-g9105,796-9105
119468.city,CIMARRpON,CIMARRON
195972.gender,,M
152985.statevalue,NT,TN
142668.statevalue,KA,AK
78933.statevalue,uAK,AK
44003.statevalue,KA,AK
142296.city,PINT,POINT
5286.city,SIOXU FALLS,SIOUX FALLS
116259.gender,,M
40987.gender,,M
124327.fname,Toyoihde,Toyohide
1775.zip,72640.0,67058
164060.phone,393n-9444,393-9444
24905.gender,eM,M
746.zip,89140.0,31033
46143.gender,yF,F
119155.haschild,aN,N
110042.lname,Sktaulla,Skatulla
77805.lname,Marecihal,Marechal
43875.statevalue,K,AK
109141.fname,Toyn,Tony
151366.gender,tF,F
37216.lname,Azumia,Azuma
22659.statevalue,MuN,MN
112583.phone,290-a7679,290-7679
193244.phone,884-5p369,884-5369
91201.haschild,vN,N
102553.maritalstatus,cM,M
94526.haschild,,Y
194204.statevalue,KA,AK
34698.gender,,F
33242.lname,Grleer,Greer
98352.fname,Wreijing,Weijing
62168.phone,173-6981,173-6891
191485.haschild,oN,N
58184.city,GRANoD ISLE,GRAND ISLE
111401.fname,Ygih,Yih
2610.zip,89140.0,5260
151793.statevalue,M,NM
79355.statevalue,DS,SD
138600.gender,,F
146278.lname,Kmrupka,Krupka
154053.statevalue,K,AK
41939.lname,ntin,Antin
97942.maritalstatus,,M
2706.statevalue,MrI,MI
180678.lname,Framnzblau,Franzblau
23192.haschild,,N
90400.gender,mF,F
185475.gender,***,F
166738.fname,ul,Yul
33229.statevalue,ArK,AK
118015.phone,66-23762,662-3762
54801.city,BOZMEAN,BOZEMAN
51024.lname,Przbyylski,Przybylski
186211.city,CAGUAbS,CAGUAS
5980.areacode,501.0,980
43724.fname,Shiinn,Shinin
43643.statevalue,K,AK
177336.lname,Matteuci,Matteucci
4502.fname,Nik,Michiko
23691.city,VENCIE,VENICE
194901.statevalue,K,AK
41649.gender,,F
195410.maritalstatus,,M
136673.phone,298-a7908,298-7908
119409.haschild,,Y
196812.gender,,F
128371.phone,610-110j3,610-1103
21874.maritalstatus,zS,S
195030.fname,Esil,Eskil
3386.zip,20226.0,89178
167300.statevalue,NI,IN
72786.lname,Cihodo,Chiodo
168373.statevalue,LfA,LA
148473.gender,***,F
51945.phone,3907-798,390-7798
748.statevalue,MfD,MD
162307.city,FlAIRHOPE,FAIRHOPE
16136.maritalstatus,***,M
97301.maritalstatus,,S
89151.city,ROVADA,OROVADA
37469.statevalue,fAK,AK
169725.haschild,lN,N
138198.city,GREENWxOOD,GREENWOOD
195506.statevalue,hAK,AK
116015.city,WOOoLFORD,WOOLFORD
70103.city,HNOLULU,HONOLULU
53941.fname,Lauruen,Lauren
181862.city,NE WPARIS,NEW PARIS
129814.statevalue,K,AK
38349.statevalue,AV,VA
32261.fname,IcCT,ICT
114898.phone,2a14-1336,214-1336
16234.maritalstatus,***,S
1544.zip,89140.0,81650
132363.maritalstatus,iM,M
79824.haschild,gN,N
35530.maritalstatus,***,S
141748.phone,53c2-3173,532-3173
12955.gender,***,M
6993.lname,N'oDng,N'Dong
133691.city,bPORT ALEXANDER,PORT ALEXANDER
154388.statevalue,K,AK
46043.statevalue,KO,OK
49171.gender,,F
91439.maritalstatus,aM,M
189409.haschild,,N
124102.haschild,,N
178308.statevalue,C,NC
145350.city,HUNTINGTNO,HUNTINGTON
232.zip,54121.0,70562
3023.areacode,862.0,763
110871.statevalue,Z,AZ
106713.maritalstatus,***,S
185531.gender,fM,M
160335.lname,Ytnema,Yntema
182125.phone,808-z7398,808-7398
160075.gender,***,M
47793.statevalue,D,ID
65976.maritalstatus,xS,S
30353.phone,529-7i594,529-7594
144996.fname,abrice,Fabrice
31453.maritalstatus,***,S
6886.gender,,F
98357.haschild,***,N
118497.maritalstatus,,M
143150.gender,xM,M
154678.statevalue,C,SC
51091.maritalstatus,,M
97093.maritalstatus,,S
119132.haschild,***,N
116157.statevalue,AP,PA
64890.gender,eF,F
79650.gender,,F
152865.phone,67r9-7104,679-7104
49856.phone,958-2345,985-2345
162699.statevalue,CfA,CA
181637.gender,***,M
77445.fname,Xuqn,Xun
104598.fname,Raio,Raimo
11621.lname,Kercohff,Kerchoff
96702.haschild,,Y
187791.fname,iba,Liba
122428.statevalue,V,NV
100546.maritalstatus,yS,S
37497.city,TUhLSA,TULSA
16.areacode,501.0,360
144660.statevalue,E,DE
127636.statevalue,sAR,AR
124923.fname,Jery,Jefry
46705.city,WOODSBoORO,WOODSBORO
101614.phone,259q-6918,259-6918
67198.phone,84m7-2443,847-2443
159392.phone,912y-2331,912-2331
101943.gender,***,M
156761.statevalue,pAL,AL
172087.statevalue,KA,AK
156646.statevalue,RP,PR
162488.statevalue,yAK,AK
175538.gender,,M
91267.gender,***,F
174215.statevalue,jAK,AK
196048.city,CROCETT,CROCKETT
180443.phone,2915-875,291-5875
83959.maritalstatus,fM,M
12204.fname,Noiyuki,Noriyuki
88193.statevalue,AL,LA
4819.zip,1907.0,27552
3134.gender,***,F
80916.gender,zM,M
107374.fname,Flaminoi,Flaminio
4553.zip,8203.0,54644
129590.gender,***,M
42534.lname,Stiemerlng,Stiemerling
50463.phone,26c9-3049,269-3049
77884.haschild,lN,N
103910.lname,nupam,Anupam
23810.gender,,F
118582.phone,3097842,309-7842
153694.city,ARECIOB,ARECIBO
194661.haschild,,Y
97760.maritalstatus,sS,S
199580.statevalue,jMD,MD
99235.statevalue,X,TX
53815.fname,Luicen,Lucien
5752.fname,Mahdur,Madhur
141252.statevalue,K,AK
144187.statevalue,Y,WY
76592.gender,vM,M
31601.statevalue,S,KS
71016.fname,Leelaivas,Leelanivas
199317.city,WILLSIVILLE,WILLISVILLE
191982.statevalue,AeK,AK
176452.haschild,kN,N
196466.gender,bF,F
2892.zip,78521.0,6816
40243.statevalue,K,OK
162033.city,hMILWAUKEE,MILWAUKEE
88749.statevalue,eFL,FL
89094.gender,lM,M
96017.phone,51-1181,851-1181
113435.statevalue,R,AR
33171.statevalue,A,IA
11691.fname,Takoe,Takeo
144435.statevalue,kMN,MN
172842.maritalstatus,,S
168524.lname,ebele,Gebele
170359.maritalstatus,,S
196375.phone,372-1n933,372-1933
28265.lname,Badino,Baudino
80820.haschild,,Y
167508.gender,xF,F
35846.haschild,uY,Y
114639.statevalue,WnY,WY
126474.city,OROOCVIS,OROCOVIS
2805.zip,89140.0,84123
38855.maritalstatus,***,M
118996.gender,iM,M
7950.areacode,508.0,939
42339.phone,636-6126,366-6126
47544.gender,,F
29959.gender,uM,M
28406.statevalue,eAK,AK
163052.fname,Jianukn,Jiankun
1003.zip,78521.0,52749
81770.lname,Yealvich,Yelavich
50191.phone,693-c4981,693-4981
40590.maritalstatus,,S
129513.haschild,***,N
157013.gender,,M
182808.haschild,cY,Y
55785.lname,Mcalin,Maclin
62740.lname,Bngartz,Bongartz
1907.fname,Belen,Malek
168285.city,HRRISBURG,HARRISBURG
169363.gender,***,M
34885.haschild,gY,Y
118267.statevalue,K,AK
26238.statevalue,D,SD
132901.maritalstatus,,S
30263.city,BOhRING,BORING
142294.haschild,kN,N
34494.city,SOUX FALLS,SIOUX FALLS
164930.city,LPANT CITY,PLANT CITY
188280.maritalstatus,***,S
195050.gender,***,F
172300.haschild,,Y
68913.fname,oRwena,Rowena
148090.city,NPAER,NAPER
70170.fname,Tnuhow,Tunhow
34932.maritalstatus,rS,S
96386.phone,496-7878,496-8778
186735.gender,***,M
50953.fname,Chakralampos,Charalampos
102323.statevalue,DM,MD
168733.lname,cBlaauw,Blaauw
34717.gender,,F
40481.lname,Strohotte,Strothotte
9860.city,BUSHOWOD,BUSHWOOD
119222.city,dMAUNABO,MAUNABO
73339.gender,***,M
164273.fname,Ilay,Ilya
18299.statevalue,X,TX
29756.maritalstatus,hM,M
63335.maritalstatus,tS,S
146130.lname,Cirba,Ciorba
169815.gender,eF,F
100934.gender,***,F
113701.lname,Brban,Braban
127922.gender,,M
43351.statevalue,ED,DE
159253.city,BINGHAM CAsNYON,BINGHAM CANYON
164200.statevalue,jPA,PA
19482.gender,***,F
145565.lname,Huotekamer,Houtekamer
11055.lname,Delatizkyy,Delatizky
141535.city,MRGANTOWN,MORGANTOWN
58916.maritalstatus,gM,M
10923.statevalue,oNC,NC
4459.statevalue,Y,KY
41012.statevalue,A,CA
176005.statevalue,E,NE
118341.statevalue,CdO,CO
79869.fname,Natacah,Natacha
46370.statevalue,D,ID
81030.city,BRIL,BRILL
57724.maritalstatus,xS,S
192289.statevalue,KA,AK
194537.phone,7h22-5000,722-5000
73199.maritalstatus,,S
7199.fname,Pengyuan,Jeffrey
1580.fname,Nik,Srivas
404.fname,Belen,Henryk
9597.lname,Eawstman,Eastman
179724.lname,Closue,Clouse
174968.gender,fM,M
64142.maritalstatus,rS,S
105186.statevalue,IvD,ID
13880.maritalstatus,,S
54379.maritalstatus,,M
2410.zip,54121.0,38946
141655.phone,367-5971,637-5971
57140.lname,Verncik,Vernick
120458.statevalue,TC,CT
72579.phone,830-1662,380-1662
159687.statevalue,CN,NC
49679.statevalue,A,GA
64351.haschild,***,N
87138.city,WESTb CHARLESTON,WEST CHARLESTON
195564.gender,***,F
8371.gender,sF,F
32613.city,OeLD FORT,OLD FORT
2667.areacode,862.0,406
4255.phone,315-931,315-9831
62701.statevalue,WfI,WI
8638.phone,755-3997***,755-3997
90030.phone,299-2196,299-1296
71038.city,NETOWN,NEWTOWN
5821.areacode,501.0,662
177720.gender,,F
110484.maritalstatus,yS,S
160599.statevalue,MN,NM
126906.haschild,,N
188127.gender,***,M
147714.haschild,***,N
17592.phone,664-407x6,664-4076
123957.fname,Sydneiy,Sydney
77250.statevalue,K,OK
4231.zip,72640.0,89032
97110.statevalue,D,ND
24891.lname,Foryg,Forgy
97982.gender,tF,F
98049.lname,Brdeenkamp,Bredenkamp
146562.fname,Yastuaka,Yasutaka
146203.fname,Asawcaree,Asawaree
42906.lname,aTha,Taha
172595.statevalue,AjR,AR
165064.lname,henoweth,Chenoweth
135015.maritalstatus,***,M
7017.gender,eM,M
195344.statevalue,C,DC
95606.statevalue,VjA,VA
175118.statevalue,NI,IN
142867.statevalue,CS,SC
77528.maritalstatus,mS,S
123769.statevalue,SM,MS
192827.maritalstatus,***,M
79901.fname,dMerritt,Merritt
128539.gender,,M
112524.gender,dF,F
41712.gender,***,M
85644.fname,hinho,Chinho
47305.phone,86-4439,686-4439
7474.phone,53-5319,753-5319
161066.fname,Jongin,JongMin
88444.statevalue,OC,CO
160410.fname,Aad,Azad
25754.gender,tM,M
155755.phone,775b-7876,775-7876
108999.haschild,hN,N
95806.statevalue,VyT,VT
91349.city,ASHBUNR,ASHBURN
96260.phone,434-7995,443-7995
174190.fname,iHra,Hira
83751.gender,***,F
60721.gender,,F
53887.city,ROBEdRTS,ROBERTS
3411.areacode,702.0,507
125672.fname,Lisadro,Lisandro
74795.gender,hF,F
167092.statevalue,H,OH
161299.statevalue,NM,MN
147369.statevalue,qCO,CO
194110.city,CASEBURG,CHASEBURG
81374.gender,***,M
195644.lname,Absbod,Abbod
184110.statevalue,PnR,PR
163544.city,MRSHALL,MARSHALL
100808.fname,Gulruhk,Gulrukh
132572.statevalue,C,SC
125107.lname,uMssa,Mussa
115275.lname,Kruxnz,Krunz
68045.phone,60-95882,609-5882
141868.statevalue,K,AK
176120.lname,Mesmer,Messmer
15106.gender,,M
87923.gender,jM,M
77003.gender,***,F
192378.gender,jF,F
89452.haschild,lY,Y
162602.fname,Shichi,Shoichi
135491.fname,aLl,Lal
31531.lname,Gavrlil,Gavril
71015.haschild,***,Y
105133.maritalstatus,nM,M
155493.statevalue,RA,AR
4995.areacode,702.0,601
184017.lname,Baljs,Bals
156599.lname,Hirer,Hirzer
142434.statevalue,ZA,AZ
164134.phone,1428908,142-8908
77535.lname,Gunchiglia,Giunchiglia
142358.phone,2i21-9581,221-9581
145999.maritalstatus,,S
107514.lname,Ghaalie,Ghazalie
158135.statevalue,L,AL
1681.zip,54121.0,19946
1138.zip,89140.0,3570
142449.phone,22-4748,223-4748
129646.gender,,M
925.zip,78521.0,49349
184698.lname,McCaqskill,McCaskill
93218.fname,Paficheng,Paicheng
3674.fname,Hovav,Talel
61420.gender,***,M
57458.fname,Loganaht,Loganath
37682.fname,Shuliang,Shuling
35416.haschild,,N
80580.haschild,***,N
4382.fname,Hovav,Leona
15219.gender,***,F
197822.city,HOUES,HOUSE
79901.gender,,F
134690.maritalstatus,***,S
24331.city,GLNEELG,GLENELG
1677.zip,78521.0,37119
76522.lname,chattler,Schattler
27277.gender,***,M
17336.statevalue,Y,NY
176456.city,LIMEkRICK,LIMERICK
1298.zip,72640.0,75215
113562.city,REENSBORO,GREENSBORO
195034.statevalue,YK,KY
1813.zip,8203.0,30161
117826.gender,***,M
106554.phone,8406-982,840-6982
66362.haschild,***,N
78333.phone,2176-054,217-6054
14068.gender,kM,M
1518.gender,vF,F
38004.city,MhURFREESBORO,MURFREESBORO
182752.phone,304-116q7,304-1167
155159.haschild,,N
165687.statevalue,T,VT
145063.city,GANDO,GANADO
6996.fname,Xiangning,Hester
2324.zip,8203.0,27506
157476.gender,pM,M
129817.maritalstatus,lS,S
116846.fname,Majdi,Majid
5625.fname,Xiangning,Minghui
448.zip,72640.0,59713
91526.statevalue,ZA,AZ
118896.lname,Mdeddes,Meddes
137052.maritalstatus,,S
157178.city,FORT WATON BEACH,FORT WALTON BEACH
48710.statevalue,AeR,AR
172354.phone,34-6998,234-6998
184566.statevalue,R,PR
160486.statevalue,jAK,AK
12209.phone,452-2267,452-2627
80608.maritalstatus,***,M
25148.fname,Moridtz,Moritz
155412.statevalue,aRI,RI
13999.fname,pTua,Tua
15214.phone,153-2744,153-2474
18145.city,LOS ANEGLES,LOS ANGELES
107040.city,HOT uSPRINGS,HOT SPRINGS
3079.gender,uF,F
10502.city,LIVE,OLIVE
15459.statevalue,N,MN
37392.city,ATCOMA,TACOMA
132661.lname,anin,Lanin
128434.city,LEE SSUMMIT,LEES SUMMIT
69279.phone,704-1194,704-1149
172682.city,OTTER rROCK,OTTER ROCK
46447.lname,Usa,Usha
25019.lname,Lutzkeler,Lutzeler
44628.lname,Schiff***,Schiff
144690.statevalue,VbT,VT
189359.gender,***,M
104162.haschild,***,Y
171784.maritalstatus,***,S
82884.maritalstatus,,M
165408.phone,473-9698,743-9698
32552.statevalue,uTN,TN
119608.city,SdOMERSET,SOMERSET
11798.city,BANSK,BANKS
17977.maritalstatus,rS,S
74688.city,LIbNCOLN,LINCOLN
22821.statevalue,A,IA
45147.city,SACRAMENzTO,SACRAMENTO
120346.lname,Thirna,Thiran
143948.statevalue,ApK,AK
59781.maritalstatus,***,M
193173.city,SOUTH BURLINGTN,SOUTH BURLINGTON
183178.fname,Saznheng,Sanzheng
114342.phone,64-5058,642-5058
2622.gender,***,M
190281.fname,Rajeshkurmar,Rajeshkumar
158750.lname,Brcokman,Brockman
190319.city,ARECIO,ARECIBO
154387.lname,eRblewski,Reblewski
111348.city,SHERIDNA,SHERIDAN
111351.statevalue,SnD,SD
881.areacode,501.0,208
34279.statevalue,X,TX
108640.statevalue,LI,IL
127387.lname,Fecth,Fecht
90721.haschild,,N
37941.statevalue,DS,SD
58740.gender,jF,F
188997.gender,gF,F
96745.maritalstatus,,S
21161.haschild,uY,Y
159507.city,TLANTA,ATLANTA
111824.phone,78-76869,787-6869
139210.statevalue,KA,AK
10075.maritalstatus,tM,M
59545.city,PIEK,PIKE
155105.statevalue,KA,AK
118482.maritalstatus,aS,S
32526.statevalue,nTN,TN
120006.phone,827-3557,827-3575
39656.maritalstatus,cS,S
3963.haschild,cN,N
154175.statevalue,VN,NV
1151.haschild,***,Y
82291.maritalstatus,iM,M
189360.lname,Tfts,Tofts
20838.maritalstatus,***,S
187884.phone,847-578,847-5678
45291.fname,ussein,Hussein
75604.maritalstatus,,S
54989.gender,***,M
138270.fname,Hyunseugng,Hyunseung
68942.gender,xM,M
142203.lname,Wolmfe,Wolfe
89802.fname,Rai,Rafi
79599.haschild,,N
55645.lname,Abqe,Abe
54966.haschild,***,Y
189054.maritalstatus,qM,M
20634.statevalue,fMA,MA
1209.zip,72640.0,23884
23626.maritalstatus,***,S
60640.phone,46-8215,146-8215
183460.phone,447-3972,447-3927
167025.phone,571-699,571-6299
142950.haschild,oN,N
47235.fname,Fera,Ferda
169331.city,SOUTHAVEvN,SOUTHAVEN
88505.haschild,,N
2985.zip,54121.0,56442
43412.gender,,F
163156.haschild,aY,Y
120708.maritalstatus,***,S
3440.zip,72640.0,23116
6184.fname,Hovav,Valeska
92567.phone,33-4692,337-4692
122499.phone,236-1958,263-1958
13750.city,ANDRESW AIR FORCE BASE,ANDREWS AIR FORCE BASE
17260.statevalue,J,NJ
196088.statevalue,KA,AK
133378.lname,Satxon,Saxton
12309.city,JAYYUA,JAYUYA
160080.phone,35-39515,353-9515
58307.haschild,***,Y
18458.lname,Rovhida,Rovida
107704.statevalue,A,WA
116629.maritalstatus,,S
82022.statevalue,K,AK
9946.gender,iF,F
189480.statevalue,KO,OK
45395.haschild,***,N
44517.phone,675-2z644,675-2644
82896.haschild,,Y
70083.lname,Bikford,Bickford
9971.lname,Fornacdiari,Fornaciari
4859.zip,54121.0,63743
24349.haschild,***,N
1486.zip,54121.0,83423
109978.statevalue,KA,AK
15122.fname,Royseane,Roseane
174755.haschild,***,N
41587.fname,Maro,Marko
154937.maritalstatus,vS,S
58222.phone,81-9093,281-9093
165657.lname,Zaccangini,Zaccagnini
39493.haschild,,Y
134830.lname,Reekre,Reeker
168822.lname,ondorf,Bondorf
150392.gender,,M
162680.gender,***,F
91522.gender,,M
61362.lname,tMarinissen,Marinissen
