fname,lname,gender,areacode,phone,city,statevalue,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,Label
Waa,Shumilov,F,202,655-6005,WASHINGTON,DC,20425,S,N,,9.0,87,0,0,1
Ameet,Cosica,F,207,356-5611,SHAWMUT,ME,4975,,Y,50000,8.5,,5700,2850,1
Paritosh,Fokker,F,406,196-2966,FAIRFIELD,MT,59436,S,Y,60000,6.9,,0,1900,1
Tetra,Nadas,M,408,574-1110,CHINO,CA,91710,M,N,45000,9.3,0,174,0,1
Yohko,Flaus,F,612,370-4696,GOOD THUNDER,MN,56073,M,Y,40000,6.3900213,0,6600,3300,1
Talia,Machida,F,308,406-6856,ARCADIA,NE,68815,M,N,60000,6.84,0,206,0,1
Chuen,Bahk,F,602,537-7251,PRESCOTT,AZ,86304,N,M,90000,4.11,0,4200,0,1
,Rathi,M,907,359-5585,JUNEAU,AK,99812,S,Y,0.0,15000,0,0,0,1
Premachandran,Kann,M,719,142-5405,COLORADO SPRINGS,CO,,M,Y,90000,4.63,0,0,0,1
Lunjiang,Hanchek,F,802,278-9141,GRAND ISLE,VT,5458,M,N,3.800944,40000,0,6600,0,1
Grigori,Detro,F,723-1241,304,,WV,,M,Y,45000,5.45,0,6600,2000,1
Geereddy,Hacid,F,435-7680,208,SMELTERVILLE,ID,83868,M,N,75000,7.8,0,6600,0,1
Vaughan,Hanatani,F,,638-2204,PITTSBURGH,PA,15215,M,Y,85000,3.07,0,0,0,1
Vishv,Tzvieli,M,701,858-7215,LITCHVILLE,ND,58461,S,N,80000,2.68309,3300,0,,1
Atushi,America,F,402,646-1689,HARRISON,ZE,69346,S,Y,85000,6.84,103,0,103,1
Kun,Tabuchi,F,147,680-4685,LILBOURN,MO,63862,S,Y,50000,6.0,2100,0,1200,1
Morganna,Riis,M,608,376-1425,SILVER LAKE,WI,53170,M,,25000,4.880782,0,1400,0,1
Judicael,Ariyawansa,F,208,774-3684,COLBURN,ID,83856,S,Y,15000,5.529042,3300,0,3300,1
Till,Kotani,F,207,240-8137,EAST BOOTHBAY,ME,4544,S,Y,5000,2O2135036,2850,0,2850,1
Imari,Kleinjohann,F,401,143-5352,MISSOULA,RI,2864,S,Y,0.0,30000,0,0,300,1
Gyora,Streich,M,,374-9243,RED LODGE,Cr,59068,M,S,5000,2.3732758,0,3800,0,1
Bilhanan,Sione,F,701,76-74605,NEEDHAM HEIGHTS,MA,2494,M,15000,N,5.3,0,7150,0,1
Zeger,Zaimov,F,419,521-3886,CHICAGO,OH,43311,S,N,40000,1.8738205,,0,0,1
Sumedh,Cartier,M,M02,108-9643,SUN VALLEY,NV,89433,S,Y,95000,0.0,0,1000,0,1
Lizy,Suorsa,F,743-1281,717,SCRANTON,PA,18505,M,N,75000,3.07,0,0,0,1
Ioanis,Lupu,F,724,116-3246,BENEZETT,PA,15821,M,N,45000,3.07,0,0,0,1
Grigoris,Gentile,F,603,961-8799,NASHUA,NH,3060,M,N,,0.,0,0,0,1
Erica,Trehan,M,734,306-8600,BIG BAY,MI,49808,S,Y,30000,3.9,3100,0,3100,1
Rinie,Jonckers,M,401,910-7985,JOHNSTON,RI,2919,M,Y,35000,0.0,0,0,0,1
Jovanna,Sanada,F,202,411-7553,WASHINGTON,DC,20208,M,Y,75000,9.0,0,2740,1370,1
Ian,Lupu,M,505,180-2794,LA MADERA,NM,87539,S,Y,5000,1.7,3300,0,3300,1
Vojtech,Monkewich,F,479,205-5860,GRANNIS,AR,99107,S,N,40000,7.0,20,0,0,1
Firoz,Heydon,M,443,375-8726,DRAYDEN,CA,20630,M,Y,30000,4.75,0,4800,2r00,1
Xiannong,inzani,M,339,361-4214,SOUTH DARTMOUTH,MA,2748,S,N,30000,.53,0,3575,0,1
Gady,Deacon,M,203,823-1927,HARTFORD,CT,6102,M,Y,45000,5.0,103,25400,0,1
Rubens,Bruns,F,702,442-7354,REDO,NV,89599,S,Y,90000,0.0,0,0,0,1
Humhrey,Ramamoorthy,,401,466-2957,CLAYVILLE,RI,2815,M,N,90000,0.0,0,0,0,1
Sethu,Haasis,M,802,33-07388,LONDONDERRY,VT,5148,S,Y,85000,1.7,3300,0,3300,1
Polly,Litant,F,614,445-6070,CYNTHIANA,OH,45624,M,N,75000,3.0356412,0,2600,0,1
Giampaolo,Rege,M,256,421-6525,NEW BROCKTON,AL,36471,S,N,10000,5.0,1500,0,0,1
Jong,Milojicic,F,208,550-9016,BASALT,ID,83218,S,N,85000,3300,7.8,0,0,1
Guenter,Sigal,M,401,707-8008,PROVIDENCE,RI,2908,S,N,10000,0.0,0,0,0,1
Gunnvald,Lieflander,M,917,747-7431,AMITYVILLE,YN,11701,S,N,65000,4.330183,0,0,0,1
Masao,Kingdon,M,406,374-8411,DAGMAR,MT,59219,S,Y,35000,6.9,1900,0,1900,1
Muzhong,Derthick,M,859,501-8665,ATHOL,KY,41307,S,Y,95000,6.0,20,0,20,1
Hidetosi,Maquelin,F,256,788-7459,NORTHPORT,AL,35473,M,N,45000,5.0,0,3000,0,1
Prithviraj,Neighbors,M,307,338-8244,BOULDER,WY,82923,S,N,25000,0.0,0,0,0,1
,Castellani,F,361,141-5833,CRANDALL,TX,75114,,N,25000,0.0,0,0,0,1
Ljiljana,Smeets,F,508,501-8665,AGAWAM,MA,1001,M,Y,45000,5.3,0,7150,1000,1
Eisuke,Fasel,M,414,318-2026,SHEBOYGAN,WI,53083,M,N,10000,,0,1400,0,1
Richa,Bouaricha,F,734,777-34T3,GRAND RAPIDS,MI,49518,Y,S,25000,3.9,3100,0,3100,1
Hiroko,Cambanis,F,662,797-4304,JONESTOWN,MS,38639,M,Y,60000,5.0,0,12000,1500,1
Rein,Sakagami,M,302,675-7612,O BRIEN,DE,19736,M,N,100000,,0,220,,1
Othmar,F,Okuhata,608,229-6090,ROSHOLT,WI,91765,S,N,45000,5.228285,700,0,0,1
Stella,Sokoler,F,828,550-4061,TUCKASEGEE,NC,28783,S,Y,,6.571678,3300,0,3300,1
Kazuyasu,Krogh,F,706,537-9961,WARNER ROBINS,GA,31095,S,Y,60000,6.0,2700,0,3000,1
Ariel,Eisinger,F,651,986-5748,KERKHOVEN,MN,56252,S,Y,70000,7.85,,0,3300,1
Uinam,Augusteijn,M,214,611-3689,EL PASO,TX,88568,M,55000,Y,0.0,0,0,0,1
Andrei,Nagaya,M,319,892-4612,BRYANT,,52727,M,,10000,1.7078737,0,80,1300,1
Peikun,Ranst,F,443,970-3796,HAGERSTOWN,MD,21746,M,Y,70000,4.75,1500,4800,2400,1
Clemens,Nastar,F,407,828-8212,VENICE,FL,34285,M,N,55000,0,0.0,0,0,1
Bikram,Monnard,M,312,654-7737,CHICAGO,IL,60637,M,Y,70000,3.0,0,4000,2000,1
Manoli,Umaschi,M,302,556-6474,WILMINGTON,DE,19898,S,Y,20000,,110,0,110,1
Gonzalo,Suwanda,M,605,2028-598,LANE,,57358,M,,45000,0.0,0,0,0,1
Aicha,Nador,F,225,633-7024,GUEYDAN,LA,70542,S,N,100000,6.0,4500,0,0,1
Kieron,Munro,M,980,500-8318,CHARLOTTE,NC,28242,M,N,35000,6.466783,0,6600,0,1
Jixin,Markosian,,803,148-3702,JOHN ISLAND,SC,29455,S,N,50000,7.0,3300,0,0,1
Kunyung,Kessler,F,425,795-7476,SEDRO WOOLLEY,WA,98284,S,Y,,0.0,0,0,0,1
Venkatavasu,Antoy,M,910,211-1498,LEXINGTON,NC,27293,S,N,6.8863635,55000,3300,0,0,1
Martyne,Naggar,F,724,821-3010,,PA,19457,M,N,35000,3.07,0,0,0,1
Salim,Ashman,F,620,824-2741,HORTON,KS,66439,M,N,90000,6.45,0,4500,0,1
Narayan,Macrosson,F,580,819-5289,NORTH MIAMI,OK,74358,S,Y,10000,6.45,1000,0,10X0,1
Gyugnho,Ravi,M,907,545-2519,SKWENTNA,AK,99667,M,N,85000,0.0,0,0,0,1
Raya,Bartell,F,208,IDAHO FALLS,440-7723,,83401,S,20000,Y,6.948391,3300,0,3300,1
Alin,Mandell,M,410,552-874,BALTIMORE,MD,21280,M,Y,75000,,0,7150,2400,1
Yezdi,Gloess,F,406,583-7688,LOTHAIR,MT,59461,M,Y,70000,6.9,0,3800,1900,1
Shabbir,Dharanipragada,M,908,,BRANCHVILLE,NJ,7890,S,Y,95000,2.5828125,1000,0,1500,1
Jacopo,Schach,M,479,289-3005,SARATOGA,AR,71859,M,Y,65000,7.0,0,40,20,1
Biju,Pietrzykowski,M,337,183-4636,PLAQUEMINE,LA,70764,S,Y,40000,6.0,4500,0,1000,1
Vinot,Formenti,F,828,137-3701,PINETOWN,NC,27685,S,N,60000,6.9912586,0,6600,0,1
Balas,Skurczynski,F,907,610-5722,KETCHIKAN,AK,99901,,Y,25000,0.0,0,0,0,1
Yanbing,Gecsei,M,303,288-8387,BRUSH VALLEY,PA,15720,S,N,50000,3.07,0,0,0,1
Piera,Ahn,F,701,543-1687,BERLIN,ND,58415,M,Y,45000,2.2773614,0,6600,3300,1
Aduri,Rudmann,M,530,560-4516,LYNWOOD,CA,90262,M,Y,35000,7.7709284,0,174,272,1
Hesham,Koblitz,F,985,278-9364,LAFAYETTE,LA,70508,S,Y,85000,6.0,4500,1000,0,1
Hussein,Lioville,F,213,827-8975,VISALIA,CA,93278,S,Y,65000,9.3,87,0,,1
Nick,Gelosh,M,,257-6382,SALSBURY COVE,ME,4672,S,Y,35000,8.5,2850,0,2850,1
Ran,Sabelli,F,860,110-137,GREENWICH,CT,6830,S,N,80000,5.0,12750,0,0,1
Aziz,Reim,M,608,TAYLOR,423-1448,WI,54659,M,Y,50000,5.3151608,0,1400,400,1
Xianchang,Xiaola,F,269,287-4082,TAWAS CITY,MI,48763,S,N,20000,3.9,3100,0,0,1
Sorana,Guttman,M,971,191-5670,O BRIEN,OR,97534,,Y,75000,9.0,0,318,159,1
Selwyn,Lehtovaara,M,530,407-2385,JAMUL,CA,91935,,N,,.3,0,0,174,1
Dany,Rowen,M,256,374-9243,EVA,AL,35621,M,N,95000,5.0,0,3000,0,1
Nitsan,,M,,912-9267,WEST WARREN,MA,1092,S,Y,75000,5.3,3575,0,1000,1
Vanio,Schulmeyer,,859,733-8676,TYLERTOWN,KY,40372,S,Y,50000,4.611111,20,0,20,1
Liren,Bischoff,F,843,444-9564,PENDLETON,SC,29670,M,N,95000,7.0,0,6600,0,1
Brennan,Wongsaroje,F,202,633-6149,WASHINGTON,DC,20203,M,N,60000,9.0,0,2740,0,1
Ludwik,Hamburg,M,978,529-7308,ASHFIELD,MA,1330,M,Y,5000,5.3,0,7150,1000,1
Raimo,Fontet,M,918,550-7989,MILL CREEK,OK,74856,S,Y,85000,6.25,1000,0,10X0,1
Ward,Cicchetti,F,603,219-3160,NH,MARLOW,3456,M,Y,15000,2.2057693,0,0,0,1
Kalluri,Ash,F,620,285-5044,ABILENE,KS,67410,M,,10000,3.5,0,4500,0,1
Tero,Bern,M,751,581-6850,SPENCER,WI,54479,S,N,10000,4.620155,700,0,0,1
Sterling,Ural,F,970,725-1102,HUGO,CO,80821,S,Y,30000,4.63,0,0,0,1
Juhnyoung,Perelgut,,907,523-7079,STERLING,AK,99672,M,N,55000,0.0,0,0,0,1
Kwun,Hollenbach,F,630,336-3283,IL,CHICAGO,60674,M,Y,40000,3.0,0,4000,,1
Brindell,Wray,M,815,364-7638,SPRINGFIELD,IL,62766,S,N,75000,3.0,2000,5700,0,1
Dogan,Caelen,F,,101-9736,MOUNT CALVARY,WI,53057,M,N,50000,5.3151608,0,1400,0,1
Tooru,Miara,M,603,846-2406,GLENCLIFF,NH,3238,S,N,30000,0.0,0,0,0,1
Guangyi,Goff,M,580,184-4549,OAKHURST,OK,74050,M,N,20000,6.25,0,2000,0,1
,Massalin,M,302,240-3897,WILMINGTON,DE,19890,M,N,6000u,,103,220,159,1
Paulette,Pell,F,605,380-3248,COLUMBIA,SD,57433,S,Y,25000,0.0,0,0,,1
Corinn,Henriksson,F,772,709-5513,ZEPHYRHILLS,FL,33540,M,,10000,0.0,0,0,0,1
Dante,Wiggers,410,651,932-4319,,MN,55430,63735,Y,10000,5.35,3300,3300,0,1
Lein,F,Ang,857,188-6322,HOLYOKE,MA,1041,,Y,90000,5.3,3575,0,1000,1
Deene,Clark,F,903,800-6906,PHILADELPHIA,PA,19139,S,Y,30000,3.07,0,0,0,1
Markso,Palmore,M,406,828-6573,MONARCH,MT,59463,S,N,40000,6.9,1900,0,0,1
Zhixue,Pollacia,F,808,413-5099,HILO,HI,96721,M,Y,70000,8.25,0,2080,1040,1
Jaejin,Degtyarev,F,915,449-8698,TX,SAN ANTONIO,78215,M,Y,100000,0.0,0,0,2250,1
Furio,Bail,F,072,988-4677,LAS VEGAS,NV,89155,S,N,10000,0.0,0,0,0,1
Gustave,Shnaider,F,231,807-6159,NEW TROY,MI,49119,S,N,5000,3.9,3100,0,0,1
Yukari,Malkhi,Jahnichen,843,225-8848,LONGS,SC,29568,S,N,5000,3.563716,2000,,0,1
Arvola,Masamoto,F,,,LEE,FL,32059,S,Y,35000,0u0,0,0,0,1
Ziqiang,Anguilar,M,205,703-8570,JACKSON,AL,36501,S,Y,80000,5.0,1500,0,300,1
Tuncer,Milewski,M,505,898-5214,LOS OJOS,NM,87551,,N,70000,5.,0,6600,0,1
Younggeun,Subhlok,F,859,157-3453,SYMSONIA,KY,42082,S,Y,90000,6.0,2t,0,20,1
Ernesto,Gerasch,F,L06,686-3568,WISDOM,MT,59761,M,Y,20000,6.9,0,3800,1900,1
Fernand,Panagopoulou,F,508,205-7989,CHICOPEE,MA,1013,M,Y,90000,5.3,1900,7150,1000,1
Mihaly,Cranor,M,270,,CUSTER,KY,40115,M,Y,80000,6.0,0,40,20,1
Koh,Torasso,F,256,733-8532,PETERMAN,AL,36471,M,N,95000,5.0,0,3000,0,1
Bodh,Chute,F,484,540-5465,HONOLULU,HI,,M,Y,75000,8.2,0,2080,1040,1
Kazuyoshi,Waymire,M,314,821-4983,BELL CITY,MO,S,63735,N,75000,,,0,0,1
Phillippe,,M,985,818-7778,CARVILLE,LA,66439,S,N,80000,6.0,4500,0,0,1
Siegbert,Disney,M,775,370-5997,HENDERSON,AV,89053,S,N,95000,0.0,0,0,0,1
Lan,Nawawi,F,,989-4537,DAYTONA BEACH,FL,32124,M,Y,60000,0.0,0,0,0,1
Tsunehiro,Kakuma,M,702,399-9445,LOVELOCK,NV,89419,M,N,95000,0.0,0,0,0,1
Helmuth,Chottin,M,256,117-3491,BYNUM,AL,36253,S,Y,20000,5.0,1500,0,300,1
Haitao,Thibeault,F,304,158-6906,BEREA,WV,26327,S,Y,20000,3.7,2000,0,2000,1
Camino,M,Rieu,865,402-4993,OLD HICKORY,TN,37138,M,Y,5000,0.0,0,0,0,1
Naeem,Radzik,F,610,770-8043,MCKEESPORT,PA,15132,,Y,85000,3.07,2475,0,900,1
Yongdong,Nagase,M,908,328-4760,,NJ,8345,S,N,65000,,1000,0,0,1
Jamshed,Klawonn,410,M,268-6712,SILVER SPRING,MD,20916,S,N,70000,,2400,0,0,1
Antony,Monderer,M,802,854-5962,NvRTH FERRISBURGH,VT,5473,S,N,65000,4.298331,3300,0,0,1
Fathi,Raver,F,559,,BIG CREEK,CA,93605,M,N,40000,8.951314,0,174,0,1
Henryk,Brendel,M,,759-5669,ANCHORAGE,AK,99513,S,N,40000,0.0,0,0,0,1
Beretta,Polen,F,480,577-2861,KINGMAN,AZ,86401,S,Y,5000,2.87,2100,0,2300,1
Katsuma,Miczo,F,775,619-6577,CARSON CITY,NV,89711,M,N,5000,0.0,0,0,103,1
Michinori,Waligora,M,402,248-9730,RIVERTON,NE,68972,M,Y,80000,6.84,0,206,103,1
Laurian,Beierle,M,612,615-5232,FAIRPLAY,MD,21733,M,Y,75000,4.75,0,4800,2400,1
Manfjed,Meinel,M,501,792-7437,DODDRIDGE,AR,71834,S,N,65000,3.36759,20,0,0,1
Hee,Craddock,M,985,402-8136,KAPLAN,LA,70548,M,N,,6.0,0,9000,0,1
Lavie,Mohd,M,207,720-6245,EAGLE LAKE,ME,4739,S,Y,85000,8.5,2850,0,2850,1
Heidar,Jumpertz,M,,329-2285,OAKDALE,IL,62268,M,Y,10000,3.0,0,4000,2000,1
Sukoya,Sanabria,F,903,613-4904,PADUCAH,TX,79248,S,N,65000,0.0,0,0,0,1
Gady,Ratnaker,M,50Q,109-8331,FLAT LICK,Y,40935,M,N,20000,2.9444444,0,40,0,1
Magnus,Teniente,F,217,435-5298,OHIO,IL,61349,M,Y,90000,3.0,0,4000,0,1
Fazli,,F,302,882-6872,TOWNSEND,DE,19734,M,Y,75000,5.95,0,220,110,1
Mitsue,Hinsberger,F,901,256-2588,TN,MURFREESBORO,S,37128,Y,5000,0.0,0,0,0,1
Shinji,Zagrouba,F,208,282-7256,COEUR D ALENE,ID,83814,S,N,50000,7.8,3300,0,,1
Pau,Validov,F,505,946-6420,LOCO HILLS,NM,88255,S,Y,40000,5.3,3300,0,3300,1
Mansur,Kabra,F,269,425-9513,ORLANDO,FL,32886,M,Y,5000,0.0,0,0,0,1
Susannne,Kameny,F,253,147-4992,SEATTLE,WA,98108,M,N,60000,0.0,0,0,0,1
Avadis,Dattasharma,M,508,449-5112,ACCORD,MA,2018,S,Y,85000,5.3,3575,0,1000,1
Couto,XueDong,M,207,505-5650,NORTH ANSON,ME,4958,S,Y,60000,8.5,2850,0,,1
Almira,Farrahi,M,803,775-6764,WALTERBORO,SC,29488,M,N,35000,7.0,0,6600,0,1
LaRoy,Lachiche,F,303,785-2906,EAGLE,CO,81631,S,Y,50000,4.63,0,0,0,1
Woei,Gurzi,M,302,,WILMINGTON,DE,19801,M,Y,5000,2.2,0,220,2r00,1
Sankaran,Nisonger,M,910,885-6580,CLARKS HILL,IN,47930,S,Y,,3.4,1000,0,1000,1
Dongdai,Berqvist,F,701,661-6195,HARWOOD,,58042,,N,50000,2.3353226,0,0,6600,1
Nabanita,Hackl,M,304,,DELBARTON,MD,25670,S,Y,25000,4.05,2000,0,2000,1
Ziqiang,Murer,M,770,694-8289,LITHONIA,GA,30058,M,Y,85000,6.0,0,5400,3000,1
Toshifumi,Leguy,Tsujishita,985,806-6310,PR,CANOVANAS,729,M,Y,45000,0.0,0,0,0,1
Zhongxiu,Tait,M,561,828-7379,ORANGE CITY,FL,32774,S,Y,35000,0.0,0,0,0,1
Houssem,Sewry,,,266-7110,HARRISVILLE,RI,2830,S,N,,0.0,0,0,0,1
Saydean,Banare,M,508,137-3292,EAST WEYMOUTH,MA,2189,S,Y,5000,5.3,6000,0,1000,1
Lora,Rosch,M,570,299-3852,CHAMBERSBURG,PA,17201,S,N,55000,3.07,0,0,0,1
Zahira,Bentaleb,F,515,287-1695,SAINT DONATUS,IA,52071,Y,N,5000,0.935984,40,,0,1
auno,Eckstein,M,563,941-9209,WILLIAMSBURG,IA,52361,M,N,15000,2.479763,0,80,0,1
Papa,Wolfson,F,505,244-1780,LUNA,N,87824,M,Y,30000,5.3,0,6600,3300,1
Kazumasa,,F,206,255-6234,INCHELIUM,WA,99138,M,N,25000,0.0,0,0,0,1
Akmal,F,Jahnichen,603,303-2843,SALM,NH,39215,M,Y,15000,0.0,0,0,0,1
Xinglin,Leonhardt,M,980,,FAIRVIEW,MS,28730,S,N,50000,6.7814684,12000,0,0,1
Asat,Stevenson,M,202,196-4036,WASHINGTON,DC,20395,S,Y,65000,9.0,1370,0,1370,1
Frederic,Machiels,F,203,720-4264,STAFFORDVILLE,CT,6077,M,Y,60000,5.0,0,24500,0,1
Weikang,Kipper,F,435,941-3612,,UT,84729,M,Y,75000,7.0,700,4950,2475,1
Dopazo,Leonarda,M,985,657-9451,LAKE CHARLES,LA,70607,S,N,35000,,4500,0,0,1
Jingwen,Tuchel,M,443,163-8697,GLENELG,MD,21737,M,N,100000,4.75,0,4800,0,1
Rashi,Noonan,M,405,924-8302,TULSA,OK,74112,M,N,50000,6.25,0,2000,0,1
Viera,Aba,M,406,781-5886,AVON,MT,59713,M,Y,60000,6.9,0,3800,1900,1
Jaoquin,Renegar,M,860,520-9731,NORWICH,CT,6360,S,Y,70000,5.0,12750,0,0,1
Toramatsu,Broca,F,503,640-7781,DEXTER,OR,97431,M,Y,90000,9.0,0,381,159,1
Byeong,Hadfield,F,631,932-8771,NEW YORK,NY,10018,S,Y,45000,4.2143292,0,7150,1000,1
Olivera,Bian,M,860,519-2673,WEST HAVEN,CT,6516,M,Y,90000,4.2143292,0,q4500,0,1
Adriano,DosSantos,F,662,252-1571,WAYSIDE,MS,38780,M,Y,20000,5.0,0,12000,1500,1
Chengdian,Falvo,F,212,344-6114,WOODSTCK,NY,12498,S,N,50000,4.243293,0,0,0,1
Ira,Hajnal,M,631,420-5486,WESTBROOKVILLE,NY,95031,S,N,45000,4.2143292,0,0,0,1
Rengarajan,Alt,F,712,272-9805,PERSIA,IA,51563,M,N,60000,8.98,0,80,0,1
Luigi,Peternell,M,702,351-6704,RUBY VALLEY,NV,89833,,Y,25000,0.0,0,0,0,1
Yuuichi,Assche,M,704,325-2600,KINSTON,NC,28502,S,Y,55000,,3300,0,3300,1
Yutai,Verdillon,M,229,110-6071,ALAPAHA,HI,31622,S,N,40000,6.0,2700,0,0,1
Huizhu,Pezzoli,F,308,781-8242,ATLANTA,NE,68923,M,Y,5000,3.0217428,0,206,103,1
Hidenori,Suppi,M,803,965-7567,CHARLESTON,SC,29423,M,N,60000,7.0,0,600,0,1
Jamshed,Imam,M,308,589-7084,HAGERSTOWN,NE,68742,M,Y,40000,6.84,0,206,103,1
Feixiong,Smagt,M,701,206-8932,MUNICH,WA,58352,M,Y,70000,2.5671675,0,6600,3300,1
Gady,Eichhorn,M,201,260-4653,,NJ,8224,M,N,25000,1.4788542,0,2000,0,1
Tina,Dietz,M,312,759-1220,HILLSDALE,IL,61257,M,N,80000,3.0,0,4000,0,1
Abdelillah,Asuru,M,614,528-4750,,OH,43319,M,N,45000,2.039795,0,,0,1
Kellogg,Chander,F,202,207-7256,DC,WASHINGTON,20585,S,N,,9.0,1370,0,0,1
,McCluskey,M,848,651-6469,NTCONG,NJ,7857,S,N,90000,2.5039582,1000,0,,1
Oddvar,Wolfson,M,260,490-2673,GREENS FORK,IN,47345,S,Y,40000,3.4,1000,0,1000,1
Tetsuo,Roskies,F,907,170-8709,ANCHORAGE,AK,99521,S,N,85000,0.0,0,0,0,1
Kazuko,Leishman,F,72,540-8466,GORDONVILLE,PA,17529,M,N,,3.07,0,0,0,1
Viresh,Gerl,M,603,660-974,HAMPTON,NH,3842,S,N,40000,0.0,0,1400,0,1
Huatian,Orlando,M,601,166-7120,,MS,39215,S,Y,35000,5.0,6000,0,1500,1
Masao,Gerlach,M,440,84-57069,DOVER,OH,44622,S,Y,25000,1.3758974,1300,0,1300,1
,Huijsmans,F,804,835-2965,RICHMOND,AV,23225,S,Y,85000,5.7,900,0,900,1
Mingzeng,,F,701,616-6532,BEACH,ND,58621,M,Y,25000,2.1,0,6600,3300,1
Kolar,Ege,M,731,282-7029,KNOXVILLE,TN,37924,S,Y,5000,0.0,0,0,0,1
Jarallah,Sadowski,F,803,827-1678,YEMASSEE,SC,29945,S,Y,80000,7.0,3300,0,3300,1
Breck,MacLean,M,267,181-8055,CLARION,PA,16214,M,Y,80000,3.07,40,0,0,1
Xiaotao,Claire,F,718,774-1245,NEW HYDE PARK,NY,11043,M,Y,90000,4.475,0,0,1000,1
Bowen,Rubinfield,F,607,l21-9879,WOODGATE,NY,83401,S,N,65000,4.2143292,0,0,0,1
Anwar,Leivent,F,,193-6579,KRAMER,ND,58748,M,Y,10000,2.1,3300,0,3300,1
Yeheskel,Tucker,F,808,181-8302,MILILANI,HI,96789,M,Y,35000,7.3486843,2080,0,1040,1
Ferenc,Lyob,F,916,331-2647,LOS GATOS,CA,95031,S,15000,9.3,65000,87,0,0,1
Elvia,Bergen,F,860,436-2928,HARTFORD,CT,6114,S,N,90000,5.0,12750,0,0,1
Marwan,Schefe,M,406,182-6651,OILMONT,MT,59466,M,N,90000,6.9,0,3800,0,1
Bodh,Spitz,F,774,393-2358,STOW,MA,1775,M,N,50000,5.3,0,7150,0,1
Rodrigo,Stomenovic,F,731,330-7388,MURFREESBORO,TN,37128,S,Y,35000,0.0,0,0,0,1
Raja,Hermanns,M,702,623-2097,RENO,NV,89599,M,Y,40000,0.0,0,0,0,1
Farid,M,Guyer,302,632-2748,WILMINGTON,DE,19891,M,N,10000,2.540909,0,220,0,1
Boi,Bassino,F,941,553-5210,MIAMI,FL,33106,S,N,35000,3.2222223,0,0,0,1
Krisda,Braschler,M,973,704-3168,TRENTON,NJ,8604,M,Y,35000,1.6365625,0,2000,1500,1
Shoujie,Welinder,F,907,539-8222,ANCHORAGE,AK,99524,S,N,50000,0.0,0,0,,1
Reem,Desmedt,M,913,130-3006,SAINT JOHN,KS,76576,M,N,100000,6.45,0,4500,0,1
Dayun,Reck,F,804,274-4237,STANLEY,VA,22851,S,N,95000,5.75,900,0,0,1
Hongwei,Clo,M,206,475-1491,EAST FALMOUTH,,2536,M,Y,65000,0,5.3,7150,1000,1
Fethi,Robson,F,605,,BRADLEY,DS,20203,M,Y,10000,0.0,,0,0,1
Geraldo,Lazensky,M,207,269-7129,SOUTHWEST HARBOR,ME,4679,M,Y,,8.5,,5700,2850,1
Benton,Feller,F,360,751-1529,FRIDAY HARBOR,WA,98250,M,Y,v0000,,2000,0,,1
,Macias,M,609,220-2344,HELMETTA,NJ,8828,S,N,1.7942708,45000,1000,0,0,1
